ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\Qwen3.5-40B-Q4_K_M.gguf
GGUF version: 3
Tensor count: 1275
Tensor data offset: 11020224

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,1271398400
attention,360,7801909248
ffn,288,25669140480
norm,96,491520
output,26,2026378240
ssm,432,2300329728
conv,72,2949120

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
blk.23.attn_k_norm.weight,F32,256,7172472512,256,attention
blk.23.attn_norm.weight,F32,5120,7172473536,5120,attention
blk.23.attn_output.weight,Q4_K,6144x5120,7172494016,31457280,output
blk.23.attn_q.weight,Q4_K,5120x12288,7190188736,62914560,attention
blk.23.attn_q_norm.weight,F32,256,7225578176,256,attention
blk.23.attn_v.weight,Q6_K,5120x1024,7225579200,5242880,attention
blk.23.ffn_down.weight,Q6_K,17408x5120,7229880000,89128960,ffn
blk.23.ffn_gate.weight,Q4_K,5120x17408,7302993600,89128960,ffn
blk.23.ffn_up.weight,Q4_K,5120x17408,7353128640,89128960,ffn
blk.23.post_attention_norm.weight,F32,5120,7403263680,5120,norm
blk.24.attn_gate.weight,Q4_K,5120x6144,7403284160,31457280,attention
blk.24.attn_norm.weight,F32,5120,7420978880,5120,attention
blk.24.attn_qkv.weight,Q5_K,5120x10240,7420999360,52428800,attention
blk.24.ffn_down.weight,Q4_K,17408x5120,7457044160,89128960,ffn
blk.24.ffn_gate.weight,Q4_K,5120x17408,7507179200,89128960,ffn
blk.24.ffn_up.weight,Q4_K,5120x17408,7557314240,89128960,ffn
blk.24.post_attention_norm.weight,F32,5120,7607449280,5120,norm
blk.24.ssm_a,F32,48,7607469760,48,ssm
blk.24.ssm_alpha.weight,Q4_K,5120x48,7607469952,245760,ssm
blk.24.ssm_beta.weight,Q4_K,5120x48,7607608192,245760,ssm
blk.24.ssm_conv1d.weight,F32,4x10240,7607746432,40960,conv
blk.24.ssm_dt.bias,F32,48,7607910272,48,ssm
blk.24.ssm_norm.weight,F32,128,7607910464,128,ssm
blk.24.ssm_out.weight,Q4_K,6144x5120,7607910976,31457280,ssm
blk.25.attn_gate.weight,Q4_K,5120x6144,7625605696,31457280,attention
blk.25.attn_norm.weight,F32,5120,7643300416,5120,attention
blk.25.attn_qkv.weight,Q5_K,5120x10240,7643320896,52428800,attention
